Position,Team,Played,Won,Drawn,Lost,For,Against,GD,Points
1,Arsenal,0,0,0,0,0,0,0,0
2,Aston Villa,0,0,0,0,0,0,0,0
3,Brentford,0,0,0,0,0,0,0,0
4,Brighton,0,0,0,0,0,0,0,0
5,Burnley,0,0,0,0,0,0,0,0
6,Chelsea,0,0,0,0,0,0,0,0
7,Crystal Palace,0,0,0,0,0,0,0,0
8,Everton,0,0,0,0,0,0,0,0
9,Leeds,0,0,0,0,0,0,0,0
10,Leicester,0,0,0,0,0,0,0,0
11,Liverpool,0,0,0,0,0,0,0,0
12,Man City,0,0,0,0,0,0,0,0
13,Man Utd,0,0,0,0,0,0,0,0
14,Newcastle,0,0,0,0,0,0,0,0
15,Norwich,0,0,0,0,0,0,0,0
16,Southampton,0,0,0,0,0,0,0,0
17,Tottenham,0,0,0,0,0,0,0,0
18,Watford,0,0,0,0,0,0,0,0
19,West Ham,0,0,0,0,0,0,0,0
20,Wolves,0,0,0,0,0,0,0,0
1,Arsenal,0,0,0,0,0,0,0,0
2,Aston Villa,0,0,0,0,0,0,0,0
3,Brentford,0,0,0,0,0,0,0,0
4,Brighton,0,0,0,0,0,0,0,0
5,Burnley,0,0,0,0,0,0,0,0
6,Chelsea,0,0,0,0,0,0,0,0
7,Crystal Palace,0,0,0,0,0,0,0,0
8,Everton,0,0,0,0,0,0,0,0
9,Leeds,0,0,0,0,0,0,0,0
10,Leicester,0,0,0,0,0,0,0,0
11,Liverpool,0,0,0,0,0,0,0,0
12,Man City,0,0,0,0,0,0,0,0
13,Man Utd,0,0,0,0,0,0,0,0
14,Newcastle,0,0,0,0,0,0,0,0
15,Norwich,0,0,0,0,0,0,0,0
16,Southampton,0,0,0,0,0,0,0,0
17,Tottenham,0,0,0,0,0,0,0,0
18,Watford,0,0,0,0,0,0,0,0
19,West Ham,0,0,0,0,0,0,0,0
20,Wolves,0,0,0,0,0,0,0,0
1,Arsenal,0,0,0,0,0,0,0,0
2,Aston Villa,0,0,0,0,0,0,0,0
3,Brentford,0,0,0,0,0,0,0,0
4,Brighton,0,0,0,0,0,0,0,0
5,Burnley,0,0,0,0,0,0,0,0
6,Chelsea,0,0,0,0,0,0,0,0
7,Crystal Palace,0,0,0,0,0,0,0,0
8,Everton,0,0,0,0,0,0,0,0
9,Leeds,0,0,0,0,0,0,0,0
10,Leicester,0,0,0,0,0,0,0,0
11,Liverpool,0,0,0,0,0,0,0,0
12,Man City,0,0,0,0,0,0,0,0
13,Man Utd,0,0,0,0,0,0,0,0
14,Newcastle,0,0,0,0,0,0,0,0
15,Norwich,0,0,0,0,0,0,0,0
16,Southampton,0,0,0,0,0,0,0,0
17,Tottenham,0,0,0,0,0,0,0,0
18,Watford,0,0,0,0,0,0,0,0
19,West Ham,0,0,0,0,0,0,0,0
20,Wolves,0,0,0,0,0,0,0,0
1,Italy,3,3,0,0,7,0,7,9
2,Wales,3,1,1,1,3,2,1,4
3,Switzerland,3,1,1,1,4,5,-1,4
4,Turkey,3,0,0,3,1,8,-7,0
